id,product_id,vendor,price,affiliate_url
2db3bfc9-a5a9-427d-857a-e934c280ec56,25c5817e-0ebc-4453-8043-e2a09311a439,Amazon,110904,https://www.amazon.in/s?k=ASUS%20TUF%20Gaming%20A15%2016GB%201TB%20SSD&tag=yourtag-21
a20ed0f6-3b50-49a4-9d08-afed54fce6b2,25c5817e-0ebc-4453-8043-e2a09311a439,Flipkart,111321,https://www.flipkart.com/search?q=ASUS%20TUF%20Gaming%20A15%2016GB%201TB%20SSD
c9989adb-3c69-4877-86ae-ad381bf1d0dc,ff0d7c90-0a79-4499-b421-557868210c70,Amazon,61726,https://www.amazon.in/s?k=Lenovo%20ThinkPad%2016GB%201TB%20SSD&tag=yourtag-21
78f8f32f-3cde-4c9f-9fc5-f40579737fe8,ff0d7c90-0a79-4499-b421-557868210c70,Flipkart,62518,https://www.flipkart.com/search?q=Lenovo%20ThinkPad%2016GB%201TB%20SSD
5169fd72-ee58-41c1-9fa1-078b7a132a09,f7e56a0f-58dc-4f52-b51a-34758bc3e0da,Amazon,92844,https://www.amazon.in/s?k=Acer%20Nitro%205%2016GB%201TB%20SSD&tag=yourtag-21
f7e36d71-c590-4e33-9c12-218ad3b687cb,f7e56a0f-58dc-4f52-b51a-34758bc3e0da,Flipkart,93179,https://www.flipkart.com/search?q=Acer%20Nitro%205%2016GB%201TB%20SSD
1d58657e-3061-4bfb-9165-f7c95288e696,3accf654-5157-4c4b-b659-c669ab026e4f,Amazon,69247,https://www.amazon.in/s?k=Samsung%20Odyssey%2016GB%201TB%20SSD&tag=yourtag-21
fbf3744b-a832-49b8-85db-1c2ce04faa48,3accf654-5157-4c4b-b659-c669ab026e4f,Flipkart,68724,https://www.flipkart.com/search?q=Samsung%20Odyssey%2016GB%201TB%20SSD
42bcd546-4103-42d9-bfe9-7cbb1c203557,200c1584-f117-45e4-818c-95e0eb35b893,Amazon,99047,https://www.amazon.in/s?k=Gigabyte%20Aorus%2016GB%201TB%20SSD&tag=yourtag-21
8616fedb-e710-4324-a898-3ef465fbee53,200c1584-f117-45e4-818c-95e0eb35b893,Flipkart,100354,https://www.flipkart.com/search?q=Gigabyte%20Aorus%2016GB%201TB%20SSD
f763abbd-e567-4e52-9462-2be5e3d46270,2935e8f5-e292-4017-b44b-b997f6c8d5ca,Amazon,70798,https://www.amazon.in/s?k=Lenovo%20IdeaPad%2016GB%201TB%20SSD&tag=yourtag-21
bfd29ecd-3c3e-41b2-abf4-85ac32fa7dec,2935e8f5-e292-4017-b44b-b997f6c8d5ca,Flipkart,70755,https://www.flipkart.com/search?q=Lenovo%20IdeaPad%2016GB%201TB%20SSD
7176eed8-7d3f-4d32-91c1-fc712d9dc7b7,305a1ff3-cf44-4943-9742-5cad49bcac19,Amazon,59109,https://www.amazon.in/s?k=Samsung%20Galaxy%20Book%208GB%20512GB%20SSD&tag=yourtag-21
dbdf5ff6-70ab-41d2-b313-b04118595f3a,305a1ff3-cf44-4943-9742-5cad49bcac19,Flipkart,59266,https://www.flipkart.com/search?q=Samsung%20Galaxy%20Book%208GB%20512GB%20SSD
f12bae28-d4b4-4ad0-8b50-5c20f29f257a,5081b9f8-ceb1-4064-b6c7-c7bf5ba9799b,Amazon,82490,https://www.amazon.in/s?k=Ant%20Esports%20ANT%20Pro%2016GB%201TB%20SSD&tag=yourtag-21
3a856e74-2024-4f25-95f3-ec869a009f63,5081b9f8-ceb1-4064-b6c7-c7bf5ba9799b,Flipkart,82623,https://www.flipkart.com/search?q=Ant%20Esports%20ANT%20Pro%2016GB%201TB%20SSD
eeffb159-624d-41b9-a33a-4635e9451992,3a117a55-bbe9-49c3-bc77-01316e6838ad,Amazon,84091,https://www.amazon.in/s?k=Samsung%20Galaxy%20Book%2016GB%201TB%20SSD&tag=yourtag-21
ee2ef904-e49b-4f25-8522-0fb712e17149,3a117a55-bbe9-49c3-bc77-01316e6838ad,Flipkart,84224,https://www.flipkart.com/search?q=Samsung%20Galaxy%20Book%2016GB%201TB%20SSD
ce4beb7f-db20-4b86-9990-05154ced0dc2,ddd66eb7-4918-451f-bc39-1c5f0024bf0c,Amazon,55489,https://www.amazon.in/s?k=HP%20Omen%208GB%20512GB%20SSD&tag=yourtag-21
ab09989d-8036-4871-ba9c-6afa4711969a,ddd66eb7-4918-451f-bc39-1c5f0024bf0c,Flipkart,55136,https://www.flipkart.com/search?q=HP%20Omen%208GB%20512GB%20SSD
54c1e3b2-025c-45f8-b8aa-130ef7f0f36c,9dc2e27b-d966-4fd2-b666-9160ad4bb2ea,Amazon,78158,https://www.amazon.in/s?k=HP%20Envy%2016GB%201TB%20SSD&tag=yourtag-21
fe0b0fec-82aa-490e-a47a-6b7562befd95,9dc2e27b-d966-4fd2-b666-9160ad4bb2ea,Flipkart,78438,https://www.flipkart.com/search?q=HP%20Envy%2016GB%201TB%20SSD
cd3e09c5-57db-44cc-9a03-771e3de622f6,b5703bed-a4b6-42e6-818b-83adef2bc39b,Amazon,65739,https://www.amazon.in/s?k=Acer%20Swift%2016GB%201TB%20SSD&tag=yourtag-21
95216154-e33c-43ab-9d97-c4b49a29b555,b5703bed-a4b6-42e6-818b-83adef2bc39b,Flipkart,66428,https://www.flipkart.com/search?q=Acer%20Swift%2016GB%201TB%20SSD
dd768f59-0f1f-4440-8b6d-d6de752088bc,caacfec0-625d-4993-81f9-01a66510ea1d,Amazon,64818,https://www.amazon.in/s?k=MSI%20GF63%20Thin%2016GB%201TB%20SSD&tag=yourtag-21
b4d5cd17-051b-4421-be42-6761af4c0f8e,caacfec0-625d-4993-81f9-01a66510ea1d,Flipkart,64684,https://www.flipkart.com/search?q=MSI%20GF63%20Thin%2016GB%201TB%20SSD
02f9fb5e-d7a2-4475-9fc6-148d56bc5176,ecbe74cf-1b6f-4c34-88f7-9ca759cc9d77,Amazon,115047,https://www.amazon.in/s?k=Dell%20XPS%2016GB%201TB%20SSD&tag=yourtag-21
a39ee2d8-f12c-4de1-a79f-4ca9ac699119,ecbe74cf-1b6f-4c34-88f7-9ca759cc9d77,Flipkart,114996,https://www.flipkart.com/search?q=Dell%20XPS%2016GB%201TB%20SSD
