id,title,slug,brand,category,use_case,description,price_min,price_max,image_url,is_featured,is_active
25c5817e-0ebc-4453-8043-e2a09311a439,ASUS TUF Gaming A15 16GB 1TB SSD,asus-tuf-gaming-a15-16gb-1tb-ssd-f9458d,ASUS,Prebuilt PC,Office,"The ASUS TUF Gaming A15 16GB 1TB SSD is a Prebuilt PC from ASUS for Office. Features AMD Ryzen 5 6600H, NVIDIA GeForce RTX 3050 Ti, 16GB RAM, 1TB SSD storage.",110734,113562,https://picsum.photos/seed/asus-prebuilt-pc/600/400,false,true
ff0d7c90-0a79-4499-b421-557868210c70,Lenovo ThinkPad 16GB 1TB SSD,lenovo-thinkpad-16gb-1tb-ssd-df2ab1,Lenovo,Laptop,Student,"The Lenovo ThinkPad 16GB 1TB SSD is a Laptop from Lenovo for Student. Features AMD Ryzen 7 5800H, NVIDIA GeForce RTX 3050, 16GB RAM, 1TB SSD storage.",61618,63187,https://picsum.photos/seed/lenovo-laptop/600/400,false,true
f7e56a0f-58dc-4f52-b51a-34758bc3e0da,Acer Nitro 5 16GB 1TB SSD,acer-nitro-5-16gb-1tb-ssd-bc009f,Acer,Laptop,Programming,"The Acer Nitro 5 16GB 1TB SSD is a Laptop from Acer for Programming. Features AMD Ryzen 5 5600H, NVIDIA GeForce GTX 1650, 16GB RAM, 1TB SSD storage.",92638,95328,https://picsum.photos/seed/acer-laptop/600/400,false,true
3accf654-5157-4c4b-b659-c669ab026e4f,Samsung Odyssey 16GB 1TB SSD,samsung-odyssey-16gb-1tb-ssd-f7748d,Samsung,Laptop,Programming,"The Samsung Odyssey 16GB 1TB SSD is a Laptop from Samsung for Programming. Features Intel Core i5-12500H, NVIDIA GeForce RTX 3050 Ti, 16GB RAM, 1TB SSD storage.",68070,70248,https://picsum.photos/seed/samsung-laptop/600/400,false,true
200c1584-f117-45e4-818c-95e0eb35b893,Gigabyte Aorus 16GB 1TB SSD,gigabyte-aorus-16gb-1tb-ssd-a0f951,Gigabyte,Laptop,Student,"The Gigabyte Aorus 16GB 1TB SSD is a Laptop from Gigabyte for Student. Features Intel Core i5-12500H, NVIDIA GeForce GTX 1650, 16GB RAM, 1TB SSD storage.",98951,100204,https://picsum.photos/seed/gigabyte-laptop/600/400,true,true
2935e8f5-e292-4017-b44b-b997f6c8d5ca,Lenovo IdeaPad 16GB 1TB SSD,lenovo-ideapad-16gb-1tb-ssd-207138,Lenovo,Laptop,Programming,"The Lenovo IdeaPad 16GB 1TB SSD is a Laptop from Lenovo for Programming. Features AMD Ryzen 5 6600H, NVIDIA GeForce RTX 3050 Ti, 16GB RAM, 1TB SSD storage.",69852,70230,https://picsum.photos/seed/lenovo-laptop/600/400,false,true
305a1ff3-cf44-4943-9742-5cad49bcac19,Samsung Galaxy Book 8GB 512GB SSD,samsung-galaxy-book-8gb-512gb-ssd-5066c4,Samsung,Laptop,Office,"The Samsung Galaxy Book 8GB 512GB SSD is a Laptop from Samsung for Office. Features Intel Core i3-1115G4, Intel Iris Xe Graphics, 8GB RAM, 512GB SSD storage.",57796,58406,https://picsum.photos/seed/samsung-laptop/600/400,false,true
5081b9f8-ceb1-4064-b6c7-c7bf5ba9799b,Ant Esports ANT Pro 16GB 1TB SSD,ant-esports-ant-pro-16gb-1tb-ssd-a35843,Ant Esports,Laptop,Office,"The Ant Esports ANT Pro 16GB 1TB SSD is a Laptop from Ant Esports for Office. Features Intel Core i5-12450H, NVIDIA GeForce GTX 1650, 16GB RAM, 1TB SSD storage.",81313,83260,https://picsum.photos/seed/ant-esports-laptop/600/400,false,true
3a117a55-bbe9-49c3-bc77-01316e6838ad,Samsung Galaxy Book 16GB 1TB SSD,samsung-galaxy-book-16gb-1tb-ssd-5b46df,Samsung,Prebuilt PC,Student,"The Samsung Galaxy Book 16GB 1TB SSD is a Prebuilt PC from Samsung for Student. Features Intel Core i5-12450H, NVIDIA GeForce RTX 3050 Ti, 16GB RAM, 1TB SSD storage.",83170,84288,https://picsum.photos/seed/samsung-prebuilt-pc/600/400,false,true
ddd66eb7-4918-451f-bc39-1c5f0024bf0c,HP Omen 8GB 512GB SSD,hp-omen-8gb-512gb-ssd-118450,HP,Laptop,Student,"The HP Omen 8GB 512GB SSD is a Laptop from HP for Student. Features AMD Ryzen 3 5300U, AMD Radeon Graphics, 8GB RAM, 512GB SSD storage.",54026,54605,https://picsum.photos/seed/hp-laptop/600/400,false,true
